ID,ID_STATE,CITY,COUNTY,LATITUDE,LONGITUDE
3153,6,Larkspur,Douglas,39,-105
3154,6,Las Animas,Bent,38,-103
3155,6,Lazear,Delta,39,-108
3156,6,Leadville,Lake,39,-106
3157,6,Lewis,Montezuma,37,-109
3158,6,Limon,Lincoln,39,-104
3159,6,Lindon,Washington,40,-103
3160,6,Littleton,Arapahoe,40,-105
3161,6,Littleton,Douglas,40,-105
3162,6,Littleton,Jefferson,40,-105
3163,6,Livermore,Larimer,41,-105
3164,6,Log Lane Village,Morgan,40,-104
3165,6,Loma,Mesa,39,-109
3166,6,Longmont,Boulder,40,-105
3167,6,Longmont,Weld,40,-105
3168,6,Louisville,Boulder,40,-105
3169,6,Louviers,Douglas,39,-105
3170,6,Loveland,Larimer,40,-105
3171,6,Lucerne,Weld,40,-105
3172,6,Lyons,Boulder,40,-105
3173,6,Mack,Mesa,39,-109
3174,6,Manassa,Conejos,37,-106
3175,6,Mancos,Montezuma,37,-108
3176,6,Manitou Springs,El Paso,39,-105
3177,6,Manzanola,Otero,38,-104
3178,6,Marvel,La Plata,37,-108
3179,6,Masonville,Larimer,40,-105
3180,6,Matheson,Elbert,39,-104
3181,6,Maybell,Moffat,41,-108
3182,6,Mc Clave,Bent,38,-103
3183,6,Mc Coy,Eagle,40,-107
3184,6,Mead,Weld,40,-105
3185,6,Meeker,Rio Blanco,40,-108
3186,6,Meredith,Pitkin,39,-107
3187,6,Merino,Logan,41,-103
3188,6,Mesa,Mesa,39,-108
3189,6,Mesa Verde National Park,Montezuma,37,-108
3190,6,Milliken,Weld,40,-105
3191,6,Minturn,Eagle,40,-106
3192,6,Model,Las Animas,37,-104
3193,6,Moffat,Saguache,38,-106
3194,6,Molina,Mesa,39,-108
3195,6,Monarch,Chaffee,39,-106
3196,6,Monte Vista,Rio Grande,38,-106
3197,6,Montrose,Montrose,38,-108
3198,6,Monument,El Paso,39,-105
3199,6,Morrison,Jefferson,40,-105
3200,6,Mosca,Alamosa,38,-106
3201,6,Nathrop,Chaffee,39,-106
3202,6,Naturita,Montrose,38,-109
3203,6,Nederland,Boulder,40,-105
3204,6,New Castle,Garfield,40,-108
3205,6,New Raymer,Weld,41,-104
3206,6,Niwot,Boulder,40,-105
3207,6,Norwood,San Miguel,38,-108
3208,6,Nucla,Montrose,38,-109
3209,6,Nunn,Weld,41,-105
3210,6,Oak Creek,Routt,40,-107
3211,6,Ohio City,Gunnison,39,-107
3212,6,Olathe,Montrose,39,-108
3213,6,Olney Springs,Crowley,38,-104
3214,6,Ophir,San Miguel,38,-108
3215,6,Orchard,Morgan,40,-104
3216,6,Ordway,Crowley,38,-104
3217,6,Otis,Washington,40,-103
3218,6,Ouray,Ouray,38,-108
3219,6,Ovid,Sedgwick,41,-102
3220,6,Padroni,Logan,41,-103
3221,6,Pagosa Springs,Archuleta,37,-107
3222,6,Palisade,Mesa,39,-108
3223,6,Palmer Lake,El Paso,39,-105
3224,6,Paoli,Phillips,41,-102
3225,6,Paonia,Delta,39,-108
3226,6,Parachute,Garfield,39,-108
3227,6,Paradox,Montrose,38,-109
3228,6,Parker,Douglas,40,-105
3229,6,Parlin,Gunnison,39,-107
3230,6,Parshall,Grand,40,-106
3231,6,Peetz,Logan,41,-103
3232,6,Penrose,Fremont,38,-105
3233,6,Peyton,El Paso,39,-105
3234,6,Phippsburg,Routt,40,-107
3235,6,Pierce,Weld,41,-105
3236,6,Pine,Jefferson,39,-105
3237,6,Pinecliffe,Boulder,40,-105
3238,6,Pitkin,Gunnison,39,-107
3239,6,Placerville,San Miguel,38,-108
3240,6,Platteville,Weld,40,-105
3241,6,Pleasant View,Montezuma,38,-109
