ID_state,county
45,Lubbock
47,Grand Isle
19,Franklin
44,Marshall
26,Montgomery
50,Hardy
29,Elko
36,Lake
5,San Mateo
38,Crook
11,Cherokee
4,Carroll
16,Butler
45,Rusk
14,Cass
36,Cuyahoga
45,Concho
44,Gibson
46,Uintah
5,Siskiyou
22,Middlesex
24,Roseau
4,Jefferson
11,Douglas
33,Saint Lawrence
6,Gilpin
50,Ritchie
11,Newton
28,Cheyenne
36,Marion
20,Aroostook
50,Preston
19,West Feliciana
48,Virginia Beach City
43,Lawrence
10,Glades
11,Washington
21,Wicomico
15,Clinton
30,Strafford
2,Nome
39,Indiana
7,New Haven
11,Habersham
40,Dorado
28,Arthur
13,Oneida
45,Hill
32,Valencia
40,San Juan
14,Will
26,Cass
35,Williams
45,Clay
52,Big Horn
37,Garfield
17,Cowley
51,Langlade
10,Flagler
40,Camuy
42,Laurens
14,Knox
42,Marlboro
30,Grafton
20,York
33,Montgomery
11,Dooly
14,Fayette
25,Newton
1,Limestone
6,Rio Grande
50,Nicholas
18,Mercer
44,Carter
45,Gray
18,Scott
28,Kimball
19,Natchitoches
4,Desha
5,Shasta
27,Petroleum
15,Wayne
24,Le Sueur
11,Dougherty
25,Leake
43,Lincoln
36,Mahoning
26,Pemiscot
15,Hancock
23,Mackinac
24,Hennepin
49,Skagit
51,Waushara
14,Kankakee
4,Phillips
36,Highland
11,Lowndes
34,Bertie
38,Hood River
11,Jefferson
35,Mountrail
11,Union
45,Montgomery
26,Saint Charles
26,Dallas
28,Logan
39,Armstrong
44,Washington
44,Sevier
36,Auglaize
15,Jackson
45,Crosby
23,Wexford
45,Hockley
36,Warren
45,Chambers
8,Kent
27,Liberty
33,Ulster
42,Aiken
48,Nelson
44,Rhea
48,Gloucester
24,Blue Earth
37,Osage
40,Carolina
27,Mineral
2,Bristol Bay
37,Beaver
45,Cass
48,Dinwiddie
37,Mcintosh
48,Highland
48,Mathews
15,Pulaski
22,Worcester
52,Sublette
3,Maricopa
37,Cherokee
2,Kenai Peninsula
51,Buffalo
44,White
48,Nottoway
13,Payette
48,Warren
48,Roanoke
18,Owen
36,Clermont
37,Carter
34,Edgecombe
16,Ida
13,Clearwater
13,Kootenai
27,Sheridan
23,Menominee
42,Beaufort
15,Vanderburgh
25,Washington
50,Marion
14,Mason
48,Portsmouth City
45,Titus
50,Harrison
35,Foster
32,Rio Arriba
10,Lake
14,Rock Island
24,Benton
15,Jay
26,Harrison
48,Colonial Heights City
45,Deaf Smith
16,Chickasaw
27,Cascade
37,Washington
11,Candler
39,York
48,Danville City
24,Redwood
44,Shelby
49,Douglas
26,Iron
26,Audrain
14,Cumberland
48,Middlesex
11,Macon
24,Stevens
44,Johnson
6,Prowers
23,Berrien
46,Wayne
50,Cabell
32,Hidalgo
43,Day
51,Marinette
18,Breckinridge
23,Houghton
29,Eureka
39,Montour
25,Prentiss
11,Banks
45,Jones
13,
25,Kemper
50,Lincoln
34,Wayne
52,Albany
28,Deuel
44,Chester
48,Poquoson City
24,Sibley
42,Union
28,Seward
47,Essex
1,Geneva
17,Ellsworth
50,Calhoun
51,Oneida
48,Henry
28,Hooker
45,Hutchinson
40,Gurabo
15,Hendricks
28,Saunders
48,Fredericksburg City
5,Solano
6,Delta
31,Salem
37,Kay
18,Carter
33,Albany
6,
6,Ouray
5,Colusa
45,Ellis
28,Polk
26,Wright
44,Robertson
45,Ward
47,Lamoille
48,Accomack
15,Sullivan
23,Baraga
18,Marshall
30,Carroll
45,Franklin
15,Martin
15,Brown
45,Palo Pinto
16,Polk
48,Richmond City
35,Golden Valley
5,Alameda
45,Dallam
45,Milam
45,Hardin
48,Charlottesville City
39,Columbia
1,Jackson
11,Crisp
26,Laclede
48,Albemarle
49,Jefferson
24,Hubbard
45,Smith
4,Polk
25,Hinds
11,Elbert
39,Fulton
51,Vilas
43,Aurora
18,Mccreary
45,Trinity
24,Itasca
24,Swift
37,Harper
19,Tangipahoa
20,Kennebec
35,Bottineau
1,Houston
46,Tooele
40,Yauco
28,Perkins
51,Bayfield
50,Roane
33,Franklin
49,Cowlitz
19,Morehouse
45,Irion
11,Lamar
5,Riverside
50,Taylor
45,Gillespie
48,Frederick
40,Las Piedras
16,Story
4,Perry
23,Charlevoix
36,Guernsey
36,Henry
6,Moffat
11,Camden
27,Sanders
28,Knox
